Category,Days_Left,Stock_Available,Sales_Last_Week,Target_Discount
Dairy,89,73,7,2.5
Meat,24,48,99,0.0
Meat,37,186,29,0.36
Produce,55,39,41,2.95
Pantry,47,174,10,2.01
Dairy,64,170,54,0.0
Frozen,13,158,91,4.01
Pantry,58,141,44,0.0
Pantry,32,149,7,3.11
Frozen,42,22,23,0.38
Pantry,7,10,63,11.66
Produce,78,184,29,0.0
Frozen,75,165,75,1.67
Produce,49,133,74,1.84
Frozen,38,27,57,0.0
Bakery,13,116,17,5.38
Pantry,79,193,84,3.68
Meat,35,12,12,1.06
Meat,62,61,1,2.33
Pantry,85,43,24,0.76
Frozen,28,64,96,1.18
Frozen,53,160,44,2.11
Meat,88,83,66,0.0
Bakery,53,127,13,0.0
Beverage,59,16,98,0.0
Beverage,45,32,11,0.0
Meat,59,55,58,0.0
Dairy,56,112,25,3.98
Pantry,85,191,73,0.41
Frozen,77,26,78,1.98
Beverage,87,177,14,0.0
Beverage,15,36,10,2.99
Produce,9,134,70,10.46
Pantry,45,159,10,0.79
Bakery,23,124,19,3.15
Bakery,30,188,1,0.12
Bakery,88,167,19,1.53
Bakery,7,135,13,20.41
Produce,49,30,78,0.0
Dairy,49,118,10,1.29
Pantry,63,22,1,0.0
Beverage,48,91,94,0.26
Pantry,7,91,98,13.51
Pantry,38,157,2,4.12
Frozen,44,169,97,0.0
Pantry,16,183,71,3.68
Bakery,77,156,17,0.0
Produce,43,35,1,0.0
Beverage,30,34,83,1.44
Pantry,84,179,93,0.0
Beverage,63,46,21,2.88
Produce,86,197,62,1.86
Meat,37,114,63,0.0
Frozen,18,189,81,0.0
Beverage,60,99,55,0.0
Dairy,1,164,52,47.7
Meat,49,18,29,0.24
Bakery,8,31,17,18.03
Meat,21,128,82,1.78
Dairy,47,11,85,0.0
Produce,39,43,54,0.67
Dairy,29,96,83,0.0
Produce,40,187,61,0.67
Pantry,87,93,62,1.05
Produce,71,21,46,0.0
Frozen,51,185,89,0.79
Meat,26,11,42,0.0
Produce,57,59,3,0.58
Pantry,2,104,62,33.35
Frozen,54,89,51,0.73
Produce,11,41,75,10.51
Dairy,47,102,83,0.0
Beverage,85,149,99,0.11
Dairy,23,182,58,0.0
Dairy,15,99,45,2.38
Beverage,43,135,24,0.0
Pantry,82,124,11,0.0
Beverage,83,131,59,0.0
Frozen,24,23,81,0.06
Pantry,42,99,54,0.94
Beverage,64,75,38,1.99
Frozen,31,110,30,2.98
Dairy,67,82,64,0.79
Meat,21,153,86,3.49
Beverage,59,65,56,0.0
Dairy,30,111,52,0.0
Dairy,65,60,44,0.0
Bakery,23,47,37,4.93
Meat,34,193,75,2.62
Beverage,43,28,22,0.25
Beverage,37,123,93,3.92
Beverage,63,124,21,0.98
Bakery,73,143,28,1.85
Pantry,83,25,1,1.98
Produce,14,61,59,5.95
Pantry,76,36,49,0.0
Pantry,77,91,4,0.0
Frozen,61,71,26,0.0
Meat,82,171,48,2.07
Pantry,49,139,8,0.1
Beverage,80,44,82,0.0
Pantry,89,89,65,1.31
Bakery,26,67,95,2.94
Meat,82,83,31,0.0
Dairy,71,131,40,2.78
Pantry,10,154,12,15.55
Produce,65,82,66,2.76
Produce,62,156,57,1.94
Dairy,79,129,89,0.0
Dairy,48,23,47,0.0
Pantry,44,139,45,2.48
Pantry,72,56,36,0.0
Pantry,52,19,46,3.58
Frozen,74,194,84,0.0
Beverage,5,40,1,37.05
Pantry,51,62,78,0.39
Produce,63,187,90,1.91
Dairy,81,175,30,0.0
Beverage,83,52,5,0.62
Meat,79,83,77,2.71
Meat,75,10,47,0.0
Beverage,47,158,97,0.0
Pantry,16,61,98,3.34
Meat,9,170,66,18.12
Bakery,10,43,31,9.81
Frozen,69,19,1,2.21
Bakery,62,131,30,0.0
Meat,49,170,96,1.06
Produce,68,154,21,0.81
Dairy,56,56,95,3.05
Frozen,26,193,44,0.0
Meat,82,13,16,0.0
Bakery,81,77,75,0.0
Dairy,22,102,15,3.12
Produce,27,150,17,0.39
Pantry,29,89,49,0.45
Frozen,29,104,97,1.35
