Product_Name,Category,Manufacture_Date,Expiry_Date,Manufacturer,Stock_Quantity,Sales_Trend,Days_to_Expiry,Discount_Band
Fresh Milk,Dairy,17/10/2025,30/10/2025,FarmFresh,263,High,9,10%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,287,High,1,20%
Ground Beef,Meat,19/10/2025,23/10/2025,Quality Meats,40,Medium,2,20%
Apples,Produce,29/09/2025,25/10/2025,Orchard Gold,182,High,4,0%
Cheddar Cheese,Dairy,24/09/2025,16/11/2025,DairyLand,219,High,26,0%
Fresh Milk,Dairy,17/10/2025,30/10/2025,FarmFresh,61,Low,9,10%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,266,Low,1,20%
Baguette,Bakery,19/10/2025,22/10/2025,DailyBread,207,Medium,1,20%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,278,High,1,20%
Fresh Milk,Dairy,18/10/2025,30/10/2025,FarmFresh,219,High,9,10%
Apples,Produce,16/10/2025,05/11/2025,Orchard Gold,179,Low,15,0%
Chicken Breast,Meat,19/10/2025,25/10/2025,Quality Meats,166,Medium,4,20%
Ground Beef,Meat,21/10/2025,26/10/2025,Quality Meats,18,Low,5,0%
Apples,Produce,06/10/2025,28/10/2025,Orchard Gold,200,High,7,0%
Cheddar Cheese,Dairy,31/08/2025,26/10/2025,DairyLand,217,Low,5,15%
Apples,Produce,12/10/2025,06/11/2025,Orchard Gold,130,Medium,16,0%
Chicken Breast,Meat,19/10/2025,26/10/2025,Quality Meats,96,Medium,5,15%
Fresh Milk,Dairy,17/10/2025,29/10/2025,FarmFresh,138,Medium,8,5%
Bananas,Produce,15/10/2025,24/10/2025,Tropicana,26,High,3,20%
Soda (6-pack),Beverage,08/08/2025,11/01/2026,Bubbly Co.,237,Low,82,0%
Fresh Milk,Dairy,14/10/2025,26/10/2025,FarmFresh,223,Low,5,15%
Cheddar Cheese,Dairy,10/10/2025,07/12/2025,DairyLand,100,Low,47,0%
Soda (6-pack),Beverage,01/06/2025,14/11/2025,Bubbly Co.,36,Medium,24,0%
Chicken Breast,Meat,17/10/2025,24/10/2025,Quality Meats,69,Medium,3,20%
Frozen Pizza,Frozen,07/03/2025,08/03/2026,QuickMeals,134,Low,138,0%
Cheddar Cheese,Dairy,07/10/2025,05/12/2025,DairyLand,107,Medium,45,0%
Cheddar Cheese,Dairy,04/09/2025,26/10/2025,DairyLand,236,Low,5,15%
Yogurt,Dairy,10/10/2025,30/10/2025,DairyLand,113,Low,9,15%
Soda (6-pack),Beverage,12/06/2025,15/11/2025,Bubbly Co.,296,Low,25,5%
Soda (6-pack),Beverage,19/10/2025,27/04/2026,Bubbly Co.,133,Low,188,0%
Bananas,Produce,16/10/2025,24/10/2025,Tropicana,292,High,3,20%
Apples,Produce,11/10/2025,03/11/2025,Orchard Gold,30,High,13,5%
Chicken Breast,Meat,21/10/2025,26/10/2025,Quality Meats,102,Low,5,15%
Bananas,Produce,13/10/2025,22/10/2025,Tropicana,183,Low,1,20%
Soda (6-pack),Beverage,23/09/2025,13/03/2026,Bubbly Co.,204,Medium,143,0%
Cheddar Cheese,Dairy,27/09/2025,29/11/2025,DairyLand,179,Medium,39,0%
Yogurt,Dairy,18/10/2025,05/11/2025,DairyLand,111,High,15,0%
Yogurt,Dairy,12/10/2025,03/11/2025,DairyLand,257,Low,13,10%
Bananas,Produce,15/10/2025,23/10/2025,Tropicana,69,High,2,20%
Baguette,Bakery,21/10/2025,24/10/2025,DailyBread,60,Medium,3,20%
Bananas,Produce,19/10/2025,26/10/2025,Tropicana,124,Medium,5,0%
Ground Beef,Meat,19/10/2025,24/10/2025,Quality Meats,104,Medium,3,20%
Cheddar Cheese,Dairy,12/09/2025,07/11/2025,DairyLand,285,Medium,17,0%
Chicken Breast,Meat,18/10/2025,26/10/2025,Quality Meats,174,Low,5,15%
Ground Beef,Meat,21/10/2025,25/10/2025,Quality Meats,274,Low,4,15%
Fresh Milk,Dairy,13/10/2025,25/10/2025,FarmFresh,135,Low,4,15%
Fresh Milk,Dairy,13/10/2025,26/10/2025,FarmFresh,186,Medium,5,5%
Soda (6-pack),Beverage,10/10/2025,12/03/2026,Bubbly Co.,259,Low,142,0%
Baguette,Bakery,19/10/2025,22/10/2025,DailyBread,163,High,1,20%
Fresh Milk,Dairy,16/10/2025,26/10/2025,FarmFresh,45,High,5,0%
Soda (6-pack),Beverage,15/07/2025,01/02/2026,Bubbly Co.,53,Low,103,0%
Cheddar Cheese,Dairy,15/10/2025,09/12/2025,DairyLand,207,High,49,0%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,36,Low,2,20%
Chicken Breast,Meat,21/10/2025,27/10/2025,Quality Meats,162,High,6,15%
Soda (6-pack),Beverage,27/03/2025,27/10/2025,Bubbly Co.,40,Low,6,15%
Frozen Pizza,Frozen,24/11/2024,18/12/2025,QuickMeals,112,Medium,58,0%
Fresh Milk,Dairy,14/10/2025,27/10/2025,FarmFresh,238,Medium,6,10%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,176,Low,2,20%
Chicken Breast,Meat,20/10/2025,25/10/2025,Quality Meats,220,High,4,15%
Chicken Breast,Meat,16/10/2025,22/10/2025,Quality Meats,24,Low,1,20%
Bananas,Produce,15/10/2025,24/10/2025,Tropicana,44,Low,3,0%
Yogurt,Dairy,15/10/2025,01/11/2025,DairyLand,77,Low,11,10%
Ground Beef,Meat,17/10/2025,22/10/2025,Quality Meats,43,Medium,1,20%
Chicken Breast,Meat,18/10/2025,25/10/2025,Quality Meats,288,Medium,4,5%
Fresh Milk,Dairy,11/10/2025,24/10/2025,FarmFresh,39,Medium,3,20%
Bananas,Produce,18/10/2025,24/10/2025,Tropicana,92,Low,3,20%
Yogurt,Dairy,20/10/2025,08/11/2025,DairyLand,148,High,18,0%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,173,High,1,20%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,244,Low,1,20%
Ground Beef,Meat,18/10/2025,23/10/2025,Quality Meats,14,Low,2,20%
